market_date,market_day,market_week,market_year,market_start_time,market_end_time,special_notes,market_season,market_min_temp,market_max_temp,market_rain_flag,market_snow_flag
2022-09-02,Saturday,36,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-06,Wednesday,37,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-09,Saturday,37,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-13,Wednesday,38,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-16,Saturday,38,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-20,Wednesday,39,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-23,Saturday,39,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2022-09-27,Wednesday,40,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-09-30,Saturday,40,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-04,Wednesday,41,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-07,Saturday,41,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-11,Wednesday,42,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-14,Saturday,42,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-18,Wednesday,43,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-21,Saturday,43,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2022-10-25,Wednesday,44,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-10-28,Saturday,44,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-11-01,Wednesday,45,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-11-04,Saturday,45,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-08,Wednesday,46,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-11,Saturday,46,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-15,Wednesday,47,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-18,Saturday,47,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-22,Wednesday,48,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-25,Saturday,48,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-11-29,Wednesday,49,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-02,Saturday,49,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-06,Wednesday,50,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,1,0
2022-12-09,Saturday,50,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-13,Wednesday,51,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,1,0
2022-12-16,Saturday,51,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-20,Wednesday,52,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-23,Saturday,52,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-27,Wednesday,53,2022,4:00 PM,7:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2022-12-30,Saturday,53,2022,8:00 AM,2:00 PM,NULL,Late Fall/Holiday,NULL,NULL,0,0
2023-03-07,Wednesday,10,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-10,Saturday,10,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-14,Wednesday,11,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-17,Saturday,11,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-21,Wednesday,12,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-24,Saturday,12,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-28,Wednesday,13,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-03-31,Saturday,13,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-04,Wednesday,14,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,1,0
2023-04-07,Saturday,14,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-11,Wednesday,15,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-14,Saturday,15,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-18,Wednesday,16,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-21,Saturday,16,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,1,0
2023-04-25,Wednesday,17,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-04-28,Saturday,17,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-02,Wednesday,18,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-05,Saturday,18,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-09,Wednesday,19,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,1,0
2023-05-12,Saturday,19,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,1,0
2023-05-16,Wednesday,20,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-19,Saturday,20,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-23,Wednesday,21,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2023-05-26,Saturday,21,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,1,0
2023-05-30,Wednesday,22,2023,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,1,0
2023-06-02,Saturday,22,2023,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2023-06-06,Wednesday,23,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-09,Saturday,23,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-13,Wednesday,24,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-16,Saturday,24,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-20,Wednesday,25,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-23,Saturday,25,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-27,Wednesday,26,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-06-30,Saturday,26,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-04,Wednesday,27,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-07,Saturday,27,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-11,Wednesday,28,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2023-07-14,Saturday,28,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2023-07-18,Wednesday,29,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-21,Saturday,29,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-25,Wednesday,30,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-07-28,Saturday,30,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-01,Wednesday,31,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-04,Saturday,31,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-08,Wednesday,32,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-11,Saturday,32,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-15,Wednesday,33,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-18,Saturday,33,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-22,Wednesday,34,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-25,Saturday,34,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-08-29,Wednesday,35,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-01,Saturday,35,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-05,Wednesday,36,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-08,Saturday,36,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-12,Wednesday,37,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-15,Saturday,37,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-19,Wednesday,38,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-22,Saturday,38,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-26,Wednesday,39,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-09-29,Saturday,39,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-10-03,Wednesday,40,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2023-10-06,Saturday,40,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-10-10,Wednesday,41,2023,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2023-10-13,Saturday,41,2023,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
